CDUC,Local - Nome da Unidade de Conservação,Número da Estação Amostral,Nome da EA,km/dia de amostragem (esforço),data da amostragem ,Ano,Estação do ano,Horário de início  (hh:mm),Horário de término (hh:mm),"condição climática: aberto, nublado e chuvoso",nome dos observadores,Número do animal no guia,Classe,Ordem,Família,Gênero,Espécies,"Clasificação taxonômica (espécie, gênero, família ou ordem)",Espécies validadas para análise do ICMBio,Número do animal no guia validado,Clasificação taxonômica validada,horário do avistamento,n° de animais,total ou parcial?,distância (m)     do animal em relação a trilha,marcação no transecto,teve problema durante a amostragem?  ,Observações
118,Flona do Jamari,1,Fazenda,,25/04/2014,25/04/2014,chuvosa,06:18:00,09:59:00,aberto,Deda e Paulo,224,Mamíferos,Primates,Cebidae,Sapajus,Sapajus apella,,Sapajus apella,224,E,06:33:00,1,Total,10.5,300,Nâo,
118,Flona do Jamari,1,Fazenda,,25/04/2014,25/04/2014,chuvosa,06:18:00,09:59:00,aberto,Deda e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,07:30:00,1,Total,7,1600,Nâo,
118,Flona do Jamari,1,Fazenda,,25/04/2014,25/04/2014,chuvosa,06:18:00,09:59:00,aberto,Deda e Paulo,121,Mamíferos,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu,,Pecari tajacu,121,E,08:45:00,3,Total,9,3300,Nâo,
118,Flona do Jamari,1,Fazenda,,25/04/2014,25/04/2014,chuvosa,06:18:00,09:59:00,aberto,Deda e Paulo,121,Mamíferos,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu,,Pecari tajacu,121,E,08:54:00,2,Total,6.5,3500,Nâo,
118,Flona do Jamari,1,Fazenda,,25/04/2014,25/04/2014,chuvosa,06:18:00,09:59:00,aberto,Deda e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,09:36:00,1,Total,11,4550,Nâo,
118,Flona do Jamari,1,Fazenda,,25/04/2014,25/04/2014,chuvosa,06:18:00,09:59:00,aberto,Deda e Paulo,186,Mamíferos,Primates,Callitrichidae,Saguinus,Saguinus weddelli,,Saguinus weddelli,197,E,09:53:00,3,Total,12.5,4950,Nâo,
118,Flona do Jamari,1,Fazenda,5000,26/04/2014,26/04/2014,chuvosa,06:18:00,09:54:00,nublado,Deda e Luidi,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,06:26:00,1,Total,0,150,Nâo,
118,Flona do Jamari,1,Fazenda,,26/04/2014,26/04/2014,chuvosa,06:18:00,09:54:00,nublado,Deda e Luidi,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,06:31:00,1,Total,11,250,Nâo,
118,Flona do Jamari,1,Fazenda,,26/04/2014,26/04/2014,chuvosa,06:18:00,09:54:00,nublado,Deda e Luidi,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,07:07:00,2,Total,0,950,Nâo,
118,Flona do Jamari,1,Fazenda,,26/04/2014,26/04/2014,chuvosa,06:18:00,09:54:00,nublado,Deda e Luidi,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,07:29:00,3,Total,18,1500,Nâo,
118,Flona do Jamari,1,Fazenda,,26/04/2014,26/04/2014,chuvosa,06:18:00,09:54:00,nublado,Deda e Luidi,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,07:41:00,1,Total,0,1750,Nâo,
118,Flona do Jamari,1,Fazenda,,26/04/2014,26/04/2014,chuvosa,06:18:00,09:54:00,nublado,Deda e Luidi,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,08:24:00,2,Total,8,2950,Nâo,
118,Flona do Jamari,1,Fazenda,,26/04/2014,26/04/2014,chuvosa,06:18:00,09:54:00,nublado,Deda e Luidi,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,08:45:00,2,Total,21,3550,Nâo,
118,Flona do Jamari,1,Fazenda,5000,27/04/2014,27/04/2014,chuvosa,06:20:00,09:50:00,nublado,Deda e Luidi,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,06:50:00,2,Total,0,650,Nâo,
118,Flona do Jamari,1,Fazenda,,27/04/2014,27/04/2014,chuvosa,06:20:00,09:50:00,nublado,Deda e Luidi,243,Mamíferos,Primates,Atelidae,Ateles,Ateles chamek,E,Ateles chamek,243,E,06:59:00,3,Total,5,700,Nâo,
118,Flona do Jamari,1,Fazenda,,27/04/2014,27/04/2014,chuvosa,06:20:00,09:50:00,nublado,Deda e Luidi,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,07:35:00,2,Total,18,1500,Nâo,
118,Flona do Jamari,1,Fazenda,,27/04/2014,27/04/2014,chuvosa,06:20:00,09:50:00,nublado,Deda e Luidi,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,07:42:00,2,Total,11,1700,Nâo,
118,Flona do Jamari,1,Fazenda,,27/04/2014,27/04/2014,chuvosa,06:20:00,09:50:00,nublado,Deda e Luidi,224,Mamíferos,Primates,Cebidae,Sapajus,Sapajus apella,,Sapajus apella,224,E,07:56:00,4,Total,18,1950,Nâo,
118,Flona do Jamari,1,Fazenda,,27/04/2014,27/04/2014,chuvosa,06:20:00,09:50:00,nublado,Deda e Luidi,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,08:18:00,1,Total,0,2400,Nâo,
118,Flona do Jamari,1,Fazenda,5000,28/04/2014,28/04/2014,chuvosa,06:12:00,09:49:00,nublado,Deda e Luidi,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,06:30:00,2,Total,17,350,Nâo,
118,Flona do Jamari,1,Fazenda,,28/04/2014,28/04/2014,chuvosa,06:12:00,09:49:00,nublado,Deda e Luidi,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,07:48:00,1,Total,11,2450,Nâo,
118,Flona do Jamari,1,Fazenda,,28/04/2014,28/04/2014,chuvosa,06:12:00,09:49:00,nublado,Deda e Luidi,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,09:14:00,2,Total,12,4500,Nâo,
118,Flona do Jamari,1,Fazenda,5000,29/04/2014,29/04/2014,chuvosa,06:22:00,09:58:00,nublado,Deda e Luidi,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,07:08:00,1,Total,9,1200,Nâo,
118,Flona do Jamari,1,Fazenda,,29/04/2014,29/04/2014,chuvosa,06:22:00,09:58:00,nublado,Deda e Luidi,186,Mamíferos,Primates,Callitrichidae,Saguinus,Saguinus weddelli,,Saguinus weddelli,197,E,07:28:00,4,Total,0,1600,Nâo,
118,Flona do Jamari,1,Fazenda,,29/04/2014,29/04/2014,chuvosa,06:22:00,09:58:00,nublado,Deda e Luidi,224,Mamíferos,Primates,Cebidae,Sapajus,Sapajus apella,,Sapajus apella,224,E,08:05:00,5,Total,10,2600,Nâo,
118,Flona do Jamari,1,Fazenda,,29/04/2014,29/04/2014,chuvosa,06:22:00,09:58:00,nublado,Deda e Luidi,243,Mamíferos,Primates,Atelidae,Ateles,Ateles chamek,E,Ateles chamek,243,E,08:24:00,1,Total,30,3000,Nâo,
118,Flona do Jamari,1,Fazenda,,29/04/2014,29/04/2014,chuvosa,06:22:00,09:58:00,nublado,Deda e Luidi,260,Mamíferos,Primates,Pitheciidae,Pithecia,Pithecia irrorata,,Pithecia irrorata,260,E,08:58:00,3,Total,13,3850,Nâo,
118,Flona do Jamari,1,Fazenda,,29/04/2014,29/04/2014,chuvosa,06:22:00,09:58:00,nublado,Deda e Luidi,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,09:35:00,3,Total,1,4750,Nâo,
118,Flona do Jamari,1,Fazenda,5000,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,06:45:00,1,Total,5,50,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,224,Mamíferos,Primates,Cebidae,Sapajus,Sapajus apella,,Sapajus apella,224,E,06:52:00,1,Parcial,16,150,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,54,Aves,Gruiformes,Psophiidae,Psophia,Psophia viridis,,Psophia viridis,54,E,07:45:00,3,Parcial,6,1050,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,224,Mamíferos,Primates,Cebidae,Sapajus,Sapajus apella,,Sapajus apella,224,E,08:03:00,5,Parcial,5,1250,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,266,Mamíferos,Primates,Pitheciidae,Callicebus,Callicebus brunneus,,Callicebus brunneus,266,E,08:12:00,4,Total,8,1350,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,243,Mamíferos,Primates,Atelidae,Ateles,Ateles chamek,E,Ateles chamek,243,E,08:20:00,5,Total,2,1450,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,08:35:00,2,Total,4,1600,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,08:52:00,2,Total,23,1900,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,09:34:00,1,Total,5,2650,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,09:44:00,2,Total,16,2800,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,260,Mamíferos,Primates,Pitheciidae,Pithecia,Pithecia irrorata,,Pithecia irrorata,260,E,09:52:00,3,Parcial,16,2850,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,10:20:00,1,Total,11,3450,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,10:30:00,1,Total,11,3600,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,11:13:00,1,Total,5,4350,Nâo,
118,Flona do Jamari,1,Fazenda,,16/07/2016,16/07/2016,seca,06:40:00,11:44:00,aberto,Pedro e Paulo,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,11:27:00,1,Total,7,4600,Nâo,
118,Flona do Jamari,1,Fazenda,5000,17/07/2016,17/07/2016,seca,06:25:00,11:15:00,aberto,Pedro e Paulo,122,Mamíferos,Artiodactyla,Tayassuidae,Tayassu,Tayassu pecari,,Tayassu pecari,122,E,08:00:00,2,Parcial,0,1050,Nâo,
118,Flona do Jamari,1,Fazenda,,17/07/2016,17/07/2016,seca,06:25:00,11:15:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,08:40:00,1,Total,11,1600,Nâo,
118,Flona do Jamari,1,Fazenda,,17/07/2016,17/07/2016,seca,06:25:00,11:15:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,09:10:00,2,Total,12,2100,Nâo,
